index,mod_lectura_critica_punt,eco_condicion_tic
603,10.5,1.0
604,11.8,0.0
605,10.8,0.0
606,10.2,1.0
607,9.8,1.0
608,8.6,0.0
609,10.6,0.0
610,11.3,0.0
611,9.3,0.0
612,8.0,0.0
613,10.5,1.0
614,10.8,1.0
615,10.5,1.0
616,12.1,0.0
617,10.3,2.0
618,10.3,1.0
619,10.5,0.0
620,9.4,0.0
621,9.8,1.0
622,10.5,0.0
623,8.9,0.0
624,9.3,0.0
625,9.1,2.0
626,8.0,2.0
627,8.3,0.0
628,10.2,0.0
629,10.3,1.0
630,10.8,0.0
631,10.5,0.0
632,10.6,1.0
633,8.6,0.0
634,9.7,2.0
635,10.8,0.0
636,8.8,2.0
637,11.5,0.0
638,9.4,2.0
639,8.9,0.0
640,11.8,0.0
641,9.7,1.0
642,10.1,0.0
643,10.7,1.0
644,10.0,2.0
645,10.2,0.0
646,10.5,1.0
647,8.8,1.0
648,9.8,1.0
649,8.5,1.0
650,10.7,0.0
651,9.4,1.0
652,9.1,0.0
653,9.9,1.0
654,10.5,1.0
655,10.5,0.0
656,11.4,0.0
657,9.3,1.0
658,11.3,0.0
659,9.7,0.0
660,10.0,0.0
661,10.8,0.0
662,8.9,1.0
663,11.1,0.0
664,10.2,1.0
665,9.0,0.0
666,10.3,0.0
667,9.1,1.0
668,10.0,1.0
669,11.0,0.0
670,10.5,1.0
671,9.6,0.0
672,10.8,0.0
673,9.1,1.0
674,10.3,0.0
675,9.9,1.0
676,11.0,0.0
677,10.5,1.0
678,12.1,1.0
679,10.8,1.0
680,10.3,1.0
681,11.2,1.0
682,11.4,1.0
683,8.8,0.0
684,10.8,1.0
685,10.2,0.0
686,10.3,2.0
687,11.2,0.0
688,9.1,0.0
689,8.2,1.0
690,9.8,1.0
691,10.8,1.0
692,10.5,1.0
693,8.9,2.0
694,10.1,0.0
695,11.0,0.0
696,10.1,0.0
697,9.1,1.0
698,9.3,1.0
699,9.9,0.0
700,10.1,1.0
701,9.8,1.0
702,11.5,0.0
703,12.4,0.0
704,8.6,1.0
705,11.4,1.0
706,9.8,1.0
707,7.9,1.0
708,9.7,0.0
709,10.5,0.0
710,9.4,1.0
711,10.0,2.0
712,10.8,0.0
713,9.1,0.0
